;Open;Close;High;Low;Vol;Log_returns;Amihud;LHH;LIX;VAR;VAR_21;MACD;EMA_21;MA_21
2020-10-28;1770.0;1696.8;1783.8;1696.8;0.7584972793658915;-0.04223542231740218;1.0994368248770956e-07;51.33456098470295;7.471743220651555;0.006889918254497175;0.01647476021275955;-0.6811996163846743;-0.0032346737815722726;-0.0007978045296653802
2020-10-29;1714.7;1694.2;1730.0;1694.2;-0.31896338938916935;-0.01202748518735497;4.875401473364329e-08;14.640602580808613;7.689883927511938;0.004950512436136638;0.016178273414785983;-0.8078763702492324;-0.003084934451562882;0.0003896175163253801
2020-10-30;1694.2;1672.3;1701.8;1672.3;-0.07550129461442334;-0.013010728610373334;1.4329020214801813e-07;18.832743403421112;7.7342007578714105;0.005587967596004532;0.016330451824159885;-0.9739369782805625;-0.003951932320421903;-0.0005074025924158843
2020-11-02;1687.8;1755.5;1765.0;1755.5;0.2535857956493739;0.039327810884620895;9.299282783913156e-08;19.837570376510236;8.345539875106002;0.0055483571341877315;0.018773495148452352;-0.8732825864083225;0.0007365234804059817;0.0011689904697091968
2020-11-03;1746.0;1795.7;1809.3;1795.7;0.25068216692240974;0.028067460648304454;7.117782821325102e-08;13.576025160488584;8.296704478297201;0.007130017951152313;0.019852872416601188;-0.6677473079623724;0.00276616443022748;0.0021406467987599154
2020-11-05;1805.0;1848.2;1869.4;1848.2;-0.0731777574183946;0.02365160068695893;9.757218779493658e-08;13.021830380091743;8.083419156767377;0.006756323572307833;0.018956485220589913;-0.3386986522652933;0.005238940652235069;0.005089928451086134
2020-11-06;1835.0;1925.1;1933.9;1925.1;0.10982451445065089;0.047933432935908904;4.9662965820878434e-08;17.28636386207238;8.52823098718231;0.008775334885033091;0.02140475246590035;0.1635577409358575;0.00871753488047089;0.006645169190579114
2020-11-09;1940.0;1762.0;1979.1;1762.0;3.0904821327283036;-0.09623844556124972;3.4777454973989534e-08;13.685168879305145;7.709380945941545;0.021376889087480033;0.030694754894289408;0.12723239187198487;-0.0005111660016785535;0.002351815358165199
2020-11-10;1766.3;1714.7;1798.6;1714.7;-0.3541796617475531;-0.029648824976591825;2.851292796744037e-08;8.439395810259114;7.920572770095458;0.008458586171823197;0.031259587494618234;-0.039297720671811476;-0.0028928617311664295;0.00035329304174513965
2020-11-11;1716.7;1700.7;1718.4;1700.7;-0.3795983880949495;-0.009363912278515407;2.77261753887659e-08;6.542244060424543;8.385473945931043;0.005829266903773074;0.03124311150428157;-0.22129327144648414;-0.003358214688933936;-0.0006308501919510823
2020-11-12;1700.0;1713.7;1746.1;1713.7;-0.16072757131720117;0.008026524622496645;3.176900756693029e-08;7.165723173004459;8.050112243249782;0.004599649851112677;0.03130591280305051;-0.3385470568864548;-0.0023917232298218405;-0.00025088078037416306
2020-11-13;1717.5;1732.1;1742.0;1732.1;-0.3094857032981948;0.008464800079730495;4.0173492847812426e-08;7.927691116430355;8.408832898650259;0.003170239339043674;0.02988270708841354;-0.38441327203827313;-0.0012268169149109998;-0.0018024775972003138
2020-11-16;1742.4;1718.0;1749.7;1718.0;0.15485116646669317;-0.014102649634495812;4.3370005961981336e-08;9.611280018119768;7.962385046176125;0.00567928310857459;0.029933674175255134;-0.4615957164867268;-0.00184760504218473;-0.0016976047013919082
2020-11-17;1715.2;1696.2;1721.4;1696.2;-0.4000269490644951;-0.011139236948883635;5.877239661798665e-08;9.723761147179808;7.834629410552499;0.0025700746413686347;0.029930707101885723;-0.5870417048099625;-0.0028149585215473394;-0.002453256793165659
2020-11-18;1698.0;1705.3;1721.4;1705.3;0.29695932734635333;0.0042899604475765685;3.810347576139923e-08;13.207557707317447;8.144454165306541;0.0059988909069981725;0.029972997578547197;-0.6649896053438624;-0.002092323854799627;-0.002462004511412874
2020-11-19;1703.1;1694.0;1706.9;1694.0;-0.35721972814896896;-0.005357523632790517;3.9348058129710603e-08;8.089776429221097;8.045865483948205;0.00267112471165626;0.02991023904238971;-0.760016360185773;-0.0024958701933917027;-0.002136100921924844
2020-11-20;1696.9;1694.6;1704.4;1694.6;-0.3668776156930952;-0.0013563322144172218;6.648385416375625e-08;12.478759378658323;7.966870583087234;0.0027672356291411062;0.029912571353933205;-0.8351958295083932;-0.0022432565900063484;-0.002154308480612599
2020-11-23;1698.5;1645.8;1701.9;1645.8;2.598949672752518;-0.03151892042902649;4.6658100811162636e-08;12.943606766808337;7.7526194270183035;0.004929168957235185;0.030483908824132416;-1.0337241746301515;-0.0046029914869769595;-0.0037604156133768107
2020-11-24;1631.3;1607.2;1650.7;1607.2;0.26759301319826023;-0.014883708441532306;3.3774187130227714e-08;8.733602904130109;7.9557657338240935;0.006151440199872611;0.030528887412048348;-1.3074878646225443;-0.006237440750421319;-0.004432971874220093
2020-11-25;1599.0;1587.8;1601.5;1587.8;-0.41968367811126495;-0.007029023542941104;2.0378668451295776e-08;6.348503702351484;8.215925083127448;0.002283183087334285;0.03052830310011327;-1.589294506412898;-0.00673445097883274;-0.004471998346765815
2020-11-26;1591.0;1630.3;1648.6;1630.3;-5.146038220260607e-05;0.02440129760782206;5.661119212112204e-08;11.999586582906305;8.101643941958908;0.006781001055120669;0.03112317247492766;-1.7000164537755609;-0.0038953929749914185;-0.0038748747585122256
2020-11-27;1626.0;1610.0;1635.0;1610.0;-0.22456915573840985;-0.009888832129246516;4.9665822534685557e-08;11.931441054838073;7.850256442417969;0.006559325542629503;0.02996396547634594;-1.842798651215162;-0.004642820064674202;-0.002411767647859775
2020-11-30;1601.4;1593.0;1619.6;1593.0;0.7496172532419831;-0.005259215728484534;3.876503682232669e-08;8.200580629446693;8.061647766922896;0.0035598951966504555;0.029902866153451172;-2.002767488620975;-0.005155567977452424;-0.0028186745544989122
2020-12-01;1604.5;1676.4;1685.4;1676.4;-0.0010153386809222953;0.04383645550100557;3.97320416812569e-08;13.230121734432242;8.554007590477443;0.00481432050815946;0.03148970479647193;-1.890474372508379;-0.00019835849177296527;0.00011451810223950254
2020-12-02;1665.4;1667.0;1687.0;1667.0;-0.16764289916344477;0.0009602689490755267;4.208207460056002e-08;9.047890501852436;8.125087740769885;0.002898352190804563;0.030156029207174428;-1.8105060432239952;-0.0006891006750031625;-0.0024716320870908914
2020-12-03;1674.1;1657.0;1698.0;1657.0;-0.13037134060187638;-0.010266968995176207;5.1151859424715566e-08;9.617812080565628;7.750054632186556;0.005095882884462952;0.029382704224548552;-1.760330798575069;-0.001168472053038938;-0.0038832178913593696
2020-12-04;1664.8;1628.0;1669.8;1628.0;-0.07108482651327064;-0.022352728516938924;7.909358956372895e-08;13.251500253861769;7.701970156241907;0.005116358053753202;0.028927628060310046;-1.7900366817891609;-0.0026359235501540734;-0.00618902670387933
2020-12-07;1634.3;1633.1;1643.0;1633.1;0.08783824031104293;-0.0007345290163147666;4.807340091066812e-08;10.083161950093631;8.36543394298934;0.0068044768887546014;0.026192982145562323;-1.7906967718197393;-0.0021253650151122905;-0.008258175452290684
